price_close,price_high,price_low,price_open,ticker,date
2772.5,2796.91,2746,2796.91,GOOG,10/22/2021
1205.45,1208.59,1067,1077,TSLA,1/3/2022
2992.91,2996.71,2921.01,2921.01,GOOG,11/12/2021
2999.05,3037.97,2998.5,3022,GOOG,11/19/2021
2816.72,2884.59,2750,2778.08,AMZN,1/27/2022
859.4,915.59,850.66,905.8,TSLA,2/11/2022
1213.86,1220,1157.2,1157.2,TSLA,11/3/2021
3450,3485.69,3438.13,3464.05,AMZN,9/14/2021
2783.71,2802.75,2764.99,2764.99,GOOG,10/7/2021
1116,1182.68,1062.05,1110,TSLA,11/24/2021
3299.18,3320.51,3285.73,3307.2,AMZN,8/25/2021
2893.66,2897.84,2866.79,2875.69,AMZN,1/29/2022
3523.16,3562.9,3495.02,3555.55,AMZN,12/8/2021
3175.51,3235.55,3155,3201.18,AMZN,2/10/2022
2776.95,2814.4,2776.95,2780.56,GOOG,10/11/2021
2723.54,2747,2675,2683.4,GOOG,10/5/2021
2965.41,2967.55,2933,2933,GOOG,10/29/2021
3225,3235.8,3111,3197.01,AMZN,2/8/2022
3223.51,3324.27,3219.32,3298,AMZN,1/13/2022
3477,3498.2,3349,3368,AMZN,11/4/2021
3109.9,3169.12,3010,3060.43,AMZN,2/14/2022
1003.8,1072,998.02,1067.46,TSLA,12/9/2021
2909.39,2928.52,2861.17,2861.18,GOOG,8/30/2021
3246.3,3319,3238.03,3319,AMZN,10/11/2021
1109.03,1188,1062.81,1167.9,TSLA,11/23/2021
3372.43,3382,3274,3300,AMZN,10/29/2021
3482.05,3604.59,3464,3563.02,AMZN,11/10/2021
865.8,875,851.5,863,TSLA,10/20/2021
3377.42,3500,3364.88,3466.35,AMZN,12/16/2021
3284.28,3284.28,3240.95,3251.25,AMZN,10/13/2021
3299.86,3321.49,3287,3321.49,AMZN,10/14/2021
2896.77,2977.99,2881.67,2947.62,GOOG,12/16/2021
2793.44,2830,2720,2824.99,GOOG,10/26/2021
2984.82,3010.33,2972.2,2982,GOOG,11/5/2021
2891.01,2900,2815.42,2815.42,GOOG,8/27/2021
3470.79,3473.85,3396.83,3428.99,AMZN,8/31/2021
2842.46,2863.5,2840.18,2863,GOOG,8/26/2021
3576.23,3593.51,3475.5,3494.02,AMZN,11/9/2021
782.75,786.5,765.43,779.83,TSLA,10/6/2021
1089.01,1119.5,1056,1056,TSLA,11/17/2021
1063.51,1120.7,1055,1092.01,TSLA,11/11/2021
3272.7,3296.56,3238,3275.08,AMZN,1/6/2022
2973.66,2997.39,2932.87,2944.2,GOOG,11/4/2021
2697,2713.07,2655.8,2670.91,GOOG,2/28/2022
755.83,756.82,738.54,745.27,TSLA,9/15/2021
3020,3035.2,2727,2865.71,AMZN,2/24/2022
753.64,760.84,748.02,760.84,TSLA,9/23/2021
3696.06,3700.64,3556.01,3573,AMZN,11/18/2021
1136.99,1142.6,1086,1086,TSLA,11/29/2021
2909.24,2928.15,2903.1,2911.7,GOOG,8/31/2021
3188,3203.9,3094,3127,AMZN,2/16/2022
1029.56,1070.78,1016,1055.24,TSLA,1/18/2022
1027.61,1043.35,1020.02,1030.7,TSLA,1/9/2022
2833.5,2845.29,2821.8,2833,GOOG,10/15/2021
732.39,740.8,725.93,730.1,TSLA,9/2/2021
3523.29,3549.47,3436.57,3444.78,AMZN,12/7/2021
3054.58,3068.83,3054.58,3062.16,AMZN,2/13/2022
2987.03,3020,2971.01,2985.98,GOOG,11/8/2021
3335.36,3353.35,3331.31,3341.33,AMZN,1/2/2022
2834.08,2844.2,2790.35,2812.93,GOOG,2/9/2022
2780.34,2814.79,2740.78,2814.79,GOOG,9/20/2021
759.49,761,750.15,751.28,TSLA,9/17/2021
865.8,899.85,850.6,856.92,TSLA,10/21/2021
2859.21,2860.71,2816.49,2835.9,GOOG,10/18/2021
2914.07,3077.48,2886.16,2993.14,GOOG,2/2/2022
1018.43,1094.85,1001.59,1029.8,TSLA,10/26/2021
711.2,716.87,704.31,709.5,TSLA,8/25/2021
2880.11,2883,2758.77,2839.89,AMZN,1/28/2022
2850.41,2904.01,2825,2867.55,GOOG,12/3/2021
686.17,719.71,678.23,718,TSLA,8/16/2021
3054.02,3054.02,3042.4,3049.79,AMZN,2/19/2022
921,929.95,901.22,918.99,TSLA,2/16/2022
3483.42,3539.45,3481,3515.85,AMZN,12/9/2021
805.72,812.13,790.91,790.91,TSLA,10/12/2021
3316,3331.4,3252,3300,AMZN,8/26/2021
2863.5,2939.66,2796.46,2913.39,GOOG,2/4/2022
2605,2681,2605,2660,GOOG,2/18/2022
1014.97,1098,1000.6,1082,TSLA,12/3/2021
3304.71,3337.56,3288.34,3306.41,AMZN,1/12/2022
932.88,932.88,923.71,927.06,TSLA,2/6/2022
3240.7,3245.94,3179,3240,AMZN,1/14/2022
3518.99,3565.83,3456,3456,AMZN,11/5/2021
2876.44,2880.73,2849.39,2849.39,GOOG,10/19/2021
1050,1052,997.61,1030.46,TSLA,1/14/2022
1061.6,1078.9,1038.82,1073,TSLA,1/11/2022
3384.49,3428.91,3373.28,3420.4,AMZN,12/29/2021
2838.42,2920,2835,2898.02,GOOG,9/10/2021
3265.87,3280.54,3200,3203,AMZN,8/23/2021
3340.3,3365.46,3331.31,3341.33,AMZN,1/1/2022
2910.38,2916,2890,2898.87,GOOG,9/7/2021
775.48,789.02,774.03,788.27,TSLA,9/30/2021
3376.07,3415.82,3331.01,3335.01,AMZN,10/26/2021
2821.99,2841.45,2770,2778.85,GOOG,8/23/2021
2875.48,2966.93,2872.29,2966.93,GOOG,11/1/2021
3189.78,3284.01,3176.1,3282,AMZN,10/4/2021
966.1,987.55,879.87,916,TSLA,1/26/2022
2981.52,2999.36,2968.82,2999.36,GOOG,11/16/2021
2756.6,2896.64,2750.45,2888,GOOG,1/5/2022
3238.41,3240.19,3234.43,3240.19,AMZN,1/16/2022
733.57,738,724.22,738,TSLA,9/3/2021
2932.5,2975,2918.39,2955.77,GOOG,12/28/2021
3475.79,3484.25,3402.08,3431.09,AMZN,9/15/2021
3221,3260,3197.01,3212.46,AMZN,10/5/2021
2609.98,2629.99,2493.01,2610.05,GOOG,1/24/2022
3201.22,3258.64,3200,3255,AMZN,8/18/2021
2887.01,2933.75,2875.57,2891.04,GOOG,1/4/2022
3187.75,3233,3161,3205.08,AMZN,8/19/2021
756.99,758.88,747.73,757.72,TSLA,9/16/2021
862.17,867.88,858.6,866.99,TSLA,2/13/2022
2730.8,2784,2711.79,2759.02,GOOG,1/18/2022
3037.49,3055.26,3037.49,3047.32,AMZN,2/20/2022
3479,3526.29,3435.88,3472.96,AMZN,9/1/2021
3417.5,3443.75,3382.49,3391,AMZN,12/28/2021
1054.73,1054.99,996.05,1003.03,TSLA,11/16/2021
3478.05,3486.99,3436.69,3455.05,AMZN,9/3/2021
2899.41,2954.4,2846.76,2922.38,GOOG,12/14/2021
864.27,880,862.51,871.4,TSLA,10/19/2021
932.2,946.23,922.09,925,TSLA,2/9/2022
717.17,729.86,714.53,720,TSLA,8/13/2021
2782.66,2864.25,2778.36,2831.01,GOOG,1/13/2022
3374.95,3417.75,3370.77,3389.97,AMZN,12/30/2021
2665.31,2719.84,2660,2714.25,GOOG,9/30/2021
2832.36,2927,2827.21,2879.94,GOOG,12/1/2021
